RiskScore,SPY,IJH,IWM,VWO,VEA,IEF,SHY,TLT,LEMB,HYG,VCLT,IAU,SCHH,PGX,BTCUSD,BIL,ExpectedReturn,Volatility
1,0.07163470385,0.01193911731,0.01790867596,0.01790867596,0,0.1875144655,0.2251826481,0.0001377411917,0.112591324,0.07506088269,0.1501217654,0.03,0,0,0,0.1,4.03,6.66
2,0.07158564298,0.0119309405,0.01789641075,0.01789641075,0,0.1875348926,0.2252071785,0.0001377561966,0.1126035893,0.0750690595,0.150138119,0.03,0,0,0,0.1,4.03,6.66
3,0.07165455379,0.01194242563,0.01791363845,0.01791363845,0,0.1875062008,0.2251727231,0.0001377351207,0.1125863616,0.07505757437,0.1501151487,0.03,0,0,0,0.1,4.03,6.66
4,0.0717283612,0.01195472687,0.0179320903,0.0179320903,0,0.1874754703,0.2251358194,0.0001377125472,0.1125679097,0.07504527313,0.1500905463,0.03,0,0,0,0.1,4.03,6.66
5,0.07167801066,0.01194633511,0.01791950267,0.01791950267,0,0.1874964343,0.2251609947,0.0001377279466,0.1125804973,0.07505366489,0.1501073298,0.03,0,0,0,0.1,4.03,6.66
6,0.07169249013,0.01194874836,0.01792312253,0.01792312253,0,0.1874904056,0.2251537549,0.0001377235182,0.1125768775,0.07505125164,0.1501025033,0.03,0,0,0,0.1,4.03,6.66
7,0.0717090489,0.01195150815,0.01792726223,0.01792726223,0,0.1874835112,0.2251454755,0.0001377184538,0.1125727378,0.07504849185,0.1500969837,0.03,0,0,0,0.1,4.03,6.66
8,0.07172815954,0.01195469326,0.01793203988,0.01793203988,0,0.1874755542,0.2251359202,0.0001377126089,0.1125679601,0.07504530674,0.1500906135,0.03,0,0,0,0.1,4.03,6.66
9,0.07175044508,0.01195840751,0.01793761127,0.01793761127,0,0.1874662754,0.2251247775,0.000137705793,0.1125623887,0.07504159249,0.150083185,0.03,0,0,0,0.1,4.03,6.66
10,0.07177675702,0.01196279284,0.01794418925,0.01794418925,0,0.1874553202,0.2251116215,0.0001376977457,0.1125558107,0.07503720716,0.1500744143,0.03,0,0,0,0.1,4.03,6.66
11,0.07180827277,0.01196804546,0.01795206819,0.01795206819,0,0.1874421982,0.2250958636,0.0001376881068,0.1125479318,0.07503195454,0.1500639091,0.03,0,0,0,0.1,4.03,6.66
12,0.07184669431,0.01197444905,0.01796167358,0.01796167358,0,0.187426201,0.2250766528,0.0001376763558,0.1125383264,0.07502555095,0.1500511019,0.03,0,0,0,0.1,4.03,6.66
13,0.07189456357,0.01198242726,0.01797364089,0.01797364089,0,0.1874062701,0.2250527182,0.0001376617154,0.1125263591,0.07501757274,0.1500351455,0.03,0,0,0,0.1,4.03,6.66
14,0.07195588173,0.01199264696,0.01798897043,0.01798897043,0,0.1873807396,0.2250220591,0.0001376429616,0.1125110296,0.07500735304,0.1500147061,0.03,0,0,0,0.1,4.03,6.66
15,0.07203735646,0.01200622608,0.01800933911,0.01800933911,0,0.1873468168,0.2249813218,0.0001376180431,0.1124906609,0.07499377392,0.1499875478,0.03,0,0,0,0.1,4.03,6.66
16,0.07215117925,0.01202519654,0.01803779481,0.01803779481,0,0.1872994254,0.2249244104,0.0001375832312,0.1124622052,0.07497480346,0.1499496069,0.03,0,0,0,0.1,4.03,6.66
17,0.072378147,0.0120630245,0.01809453675,0.01809453675,0,0.1872049249,0.2248109265,0.0001375138146,0.1124054632,0.0749369755,0.149873951,0.03,0,0,0,0.1,4.03,6.67
